"Leeftijd referentiepersoon";"Perioden";"Regio's";"Particuliere huishoudens: samenstelling/Totaal particuliere huishoudens (aantal)";"Particuliere huishoudens: samenstelling/Eenpersoonshuishouden (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Totaal meerpersoonshuishoudens (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/Totaal niet-gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/Totaal gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Eenouderhuishouden/Totaal eenouderhuishoudens (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/2 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/3 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/4 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/5 of meer personen (aantal)"
"Totaal";"2015";"Drenthe (PV)";212347;66526;145821;25709;105493;13888;79207;26112;29648;10854
"Totaal";"2016";"Drenthe (PV)";213001;67541;145460;26000;104746;14019;79429;26013;29306;10712
"Totaal";"2017";"Drenthe (PV)";215127;69546;145581;26580;104099;14220;79758;25994;29098;10731
"Totaal";"2018";"Drenthe (PV)";216373;70454;145919;27045;103569;14638;80402;26092;28711;10714
"Totaal";"2019";"Drenthe (PV)";217831;71611;146220;27497;103140;14895;81117;25899;28527;10677
"Totaal";"2020";"Drenthe (PV)";219301;72904;146397;27736;102790;15178;81650;25807;28238;10702
"Totaal";"2021";"Drenthe (PV)";220380;73490;146890;28601;102382;15214;82487;25650;28074;10679
"Totaal";"2022";"Drenthe (PV)";222165;74843;147322;29171;102226;15234;82882;25688;27968;10784
"Totaal";"2023";"Drenthe (PV)";224758;76640;148118;29363;102390;15654;83208;26176;27852;10882
"Totaal";"2024";"Drenthe (PV)";226598;78194;148404;29630;102255;15760;83843;26393;27397;10771
"Totaal";"2025";"Drenthe (PV)";228059;79546;148513;29858;101833;16035;84094;26399;27297;10723
"Totaal";"2010";"Overijssel (PV)";477596;155795;321801;51510;241069;26147;158163;58262;69486;35890
"Totaal";"2011";"Overijssel (PV)";480111;157266;322845;52988;240483;26739;159489;57755;69893;35708
"Totaal";"2012";"Overijssel (PV)";483064;159341;323723;53598;240110;27428;160367;58000;70075;35281
"Totaal";"2013";"Overijssel (PV)";485983;161265;324718;54811;239183;28201;161609;58342;70044;34723
"Totaal";"2014";"Overijssel (PV)";484310;159047;325263;56183;237432;29218;162425;58848;70002;33988
"Totaal";"2015";"Overijssel (PV)";487452;162100;325352;56895;236180;29933;163058;59038;69586;33670
"Totaal";"2016";"Overijssel (PV)";490682;164836;325846;57927;234802;30763;164289;58663;69399;33495
"Totaal";"2017";"Overijssel (PV)";495376;168884;326492;58769;234088;31300;165175;58312;69631;33374
"Totaal";"2018";"Overijssel (PV)";499031;171917;327114;59813;233155;31924;166220;58214;69506;33174
"Totaal";"2019";"Overijssel (PV)";503836;175440;328396;60858;232619;32671;167826;58344;69279;32947
"Totaal";"2020";"Overijssel (PV)";508409;178588;329821;61888;232294;33410;169546;58411;69127;32737
"Totaal";"2021";"Overijssel (PV)";512031;180716;331315;64229;231032;33799;171510;58497;68671;32637
"Totaal";"2022";"Overijssel (PV)";516961;184820;332141;65255;230724;33846;172518;58486;68653;32484
"Totaal";"2023";"Overijssel (PV)";523617;189320;334297;65338;231699;34917;173102;59620;68842;32733
"Totaal";"2024";"Overijssel (PV)";528614;192950;335664;65865;231965;35331;174469;60837;68437;31921
"Totaal";"2025";"Overijssel (PV)";531842;195124;336718;66427;231890;35859;175284;61259;68351;31824
"Totaal";"2010";"Flevoland (PV)";157552;46530;111022;19322;76608;14162;49311;24293;25344;12074
"Totaal";"2011";"Flevoland (PV)";159506;47388;112118;19779;76909;14588;50042;24349;25582;12145
"Totaal";"2012";"Flevoland (PV)";162027;49085;112942;19779;77128;15222;50693;24564;25583;12102
"Totaal";"2013";"Flevoland (PV)";163771;49951;113820;20202;77250;15541;51429;24783;25454;12154
"Totaal";"2014";"Flevoland (PV)";163487;49246;114241;20524;77108;15802;51997;24939;25299;12006
"Totaal";"2015";"Flevoland (PV)";165196;50586;114610;20765;76916;16147;52436;25066;25020;12088
"Totaal";"2016";"Flevoland (PV)";166696;51417;115279;20819;76929;16699;53150;25132;24920;12077
"Totaal";"2017";"Flevoland (PV)";168683;52633;116050;21125;77280;16786;53445;25505;24841;12259
"Totaal";"2018";"Flevoland (PV)";170802;53370;117432;21772;77597;17176;54456;25767;24789;12420
"Totaal";"2019";"Flevoland (PV)";173588;54608;118980;22301;78241;17531;55472;26062;24915;12531
"Totaal";"2020";"Flevoland (PV)";176625;56224;120401;22675;78974;17832;56224;26458;25122;12597
"Totaal";"2021";"Flevoland (PV)";178960;56743;122217;23691;79415;18165;57422;26864;25227;12704
"Totaal";"2022";"Flevoland (PV)";183147;58982;124165;24421;80283;18490;59003;27088;25296;12778
"Totaal";"2023";"Flevoland (PV)";188277;61932;126345;24770;81629;18944;60069;27546;25721;13009
"Totaal";"2024";"Flevoland (PV)";191491;63599;127892;24972;82502;19304;60925;28241;25727;12999
"Totaal";"2025";"Flevoland (PV)";194155;65404;128751;24943;83127;19519;60966;28572;26073;13140
"Totaal";"2010";"Gelderland (PV)";855880;285224;570656;92836;423909;49083;286266;106097;121595;56698
"Totaal";"2011";"Gelderland (PV)";860278;287847;572431;95422;422419;50134;289218;105117;121666;56430
"Totaal";"2012";"Gelderland (PV)";868566;294522;574044;96356;421462;51837;291635;105651;121363;55395
"Totaal";"2013";"Gelderland (PV)";876952;300712;576240;98514;420141;53337;295135;106247;120398;54460
"Totaal";"2014";"Gelderland (PV)";879834;301262;578572;101494;417815;55030;298829;106955;119503;53285
"Totaal";"2015";"Gelderland (PV)";888895;308595;580300;104084;416161;55839;301609;107635;118476;52580
"Totaal";"2016";"Gelderland (PV)";895705;313798;581907;105768;414932;57079;303907;107613;118088;52299
"Totaal";"2017";"Gelderland (PV)";906478;322025;584453;108063;414838;57345;305779;107876;118244;52554
"Totaal";"2018";"Gelderland (PV)";914369;326333;588036;110344;414962;58676;309606;107907;117950;52573
"Totaal";"2019";"Gelderland (PV)";923361;332015;591346;112487;415023;59780;312809;108117;117774;52646
"Totaal";"2020";"Gelderland (PV)";931493;336948;594545;114613;415321;60567;315689;108739;117336;52781
"Totaal";"2021";"Gelderland (PV)";938341;339755;598586;118872;414352;61195;319438;109337;117158;52653
"Totaal";"2022";"Gelderland (PV)";948460;346983;601477;121180;414739;61323;322551;109278;116863;52785
"Totaal";"2023";"Gelderland (PV)";962097;356591;605506;121803;416181;63222;324110;110980;117153;53263
"Totaal";"2024";"Gelderland (PV)";974763;365500;609263;123311;417245;63990;328469;111881;116428;52485
"Totaal";"2025";"Gelderland (PV)";981246;369895;611351;123713;417861;64838;329392;112918;116457;52584
"Totaal";"2010";"Utrecht (PV)";544095;206875;337220;65795;235468;31969;165639;64524;73437;33620
"Totaal";"2011";"Utrecht (PV)";548046;208949;339097;67286;235607;32758;166740;64440;74225;33692
"Totaal";"2012";"Utrecht (PV)";552779;211577;341202;68217;235658;33875;167926;65009;74503;33764
"Totaal";"2013";"Utrecht (PV)";557990;214209;343781;70140;235656;34670;169607;65975;74555;33644
"Totaal";"2014";"Utrecht (PV)";561553;215150;346403;72255;235353;35498;171957;66284;74736;33426
"Totaal";"2015";"Utrecht (PV)";568152;219633;348519;74057;235074;36076;173479;66555;75120;33365
"Totaal";"2016";"Utrecht (PV)";572957;221540;351417;76082;235065;36938;175439;66984;75230;33764
"Totaal";"2017";"Utrecht (PV)";579183;225319;353864;77758;235492;37329;176425;67367;75916;34156
"Totaal";"2018";"Utrecht (PV)";584265;226833;357432;80095;235992;38156;179028;67669;76234;34501
"Totaal";"2019";"Utrecht (PV)";604564;233728;370836;83444;244303;39876;186064;70171;78617;35984
"Totaal";"2020";"Utrecht (PV)";610332;235308;375024;85716;245489;40587;188760;70637;79466;36161
"Totaal";"2021";"Utrecht (PV)";613804;235650;378154;89225;244745;40893;191710;71099;79209;36136
"Totaal";"2022";"Utrecht (PV)";619986;239717;380269;90922;244742;41243;193620;71330;79372;35947
"Totaal";"2023";"Utrecht (PV)";630736;247011;383725;91494;246474;42314;195175;72813;79552;36185
"Totaal";"2024";"Utrecht (PV)";641377;255106;386271;91982;247722;42758;197512;74044;79102;35613
"Totaal";"2025";"Utrecht (PV)";645543;257055;388488;92288;248608;43666;198490;74858;79667;35473
"Totaal";"2010";"Noord-Holland (PV)";1258028;521601;736427;151944;477886;95532;380895;146387;149093;60052
"Totaal";"2011";"Noord-Holland (PV)";1269298;526919;742379;158361;477822;97360;385399;146526;150005;60449
"Totaal";"2012";"Noord-Holland (PV)";1280997;534276;746721;160571;477589;99726;387998;147591;150810;60322
"Totaal";"2013";"Noord-Holland (PV)";1290357;539399;750958;164468;476270;101433;390734;149235;150776;60213
"Totaal";"2014";"Noord-Holland (PV)";1298254;541634;756620;169568;474808;103431;395477;150640;150918;59585
"Totaal";"2015";"Noord-Holland (PV)";1314669;553840;760829;173286;473608;105021;398618;151306;151103;59802
"Totaal";"2016";"Noord-Holland (PV)";1327941;561788;766153;177825;472450;106981;401917;152483;151508;60245
"Totaal";"2017";"Noord-Holland (PV)";1341502;570691;770811;181746;472777;107643;403342;153874;152388;61207
"Totaal";"2018";"Noord-Holland (PV)";1352235;574639;777596;186218;473624;109286;407585;155676;152725;61610
"Totaal";"2019";"Noord-Holland (PV)";1362849;578977;783872;189513;475155;110715;411268;156649;153833;62122
"Totaal";"2020";"Noord-Holland (PV)";1376228;584676;791552;193989;477308;111917;416592;158046;154549;62365
"Totaal";"2021";"Noord-Holland (PV)";1381760;585263;796497;201091;475050;112061;421758;158523;154324;61892
"Totaal";"2022";"Noord-Holland (PV)";1400584;600586;799998;205200;473946;112539;425380;159216;153761;61641
"Totaal";"2023";"Noord-Holland (PV)";1428127;620325;807802;207535;477071;114918;429849;161383;154333;62237
"Totaal";"2024";"Noord-Holland (PV)";1445767;631670;814097;209496;479227;115819;435391;163642;153674;61390
"Totaal";"2025";"Noord-Holland (PV)";1454468;637753;816715;210449;479758;116840;437012;164535;153921;61247
"Totaal";"2010";"Zuid-Holland (PV)";1594796;611924;982872;172035;674881;121404;501599;199721;194104;87448
"Totaal";"2011";"Zuid-Holland (PV)";1610776;621513;989263;179956;675077;123574;508075;199796;194579;86813
"Totaal";"2012";"Zuid-Holland (PV)";1628583;634591;993992;181141;675317;126799;510887;201368;195020;86717
"Totaal";"2013";"Zuid-Holland (PV)";1638400;640604;997796;184699;673351;129106;514139;202558;194991;86108
"Totaal";"2014";"Zuid-Holland (PV)";1639725;636665;1003060;188750;671314;132648;518264;204042;195405;85349
"Totaal";"2015";"Zuid-Holland (PV)";1658260;651415;1006845;191859;669432;135262;520222;205241;195709;85673
"Totaal";"2016";"Zuid-Holland (PV)";1671417;659249;1012168;195924;667788;138131;524273;205855;196040;86000
"Totaal";"2017";"Zuid-Holland (PV)";1685403;667800;1017603;200612;667174;139354;525951;206741;197577;87334
