"Status van bewoning","Perioden","Regio's","Totale woningvoorraad (aantal)","Koopwoningen (aantal)","Huurwoningen Totaal huurwoningen (aantal)","Eigendom woningcorporatie (aantal)","Eigendom overige verhuurders (aantal)","Eigendom onbekend (aantal)"
"Niet bewoonde woningen","2013","Utrecht (PV)","26.090","9.990","12.910","4.627","8.283","3.190"
"Niet bewoonde woningen","2014","Utrecht (PV)","24.114","8.928","12.233","4.555","7.678","2.953"
"Niet bewoonde woningen","2015","Utrecht (PV)","22.688","8.571","11.208","4.091","7.117","2.909"
"Niet bewoonde woningen","2016","Utrecht (PV)","22.191","8.317","10.840","3.699","7.141","3.034"
"Niet bewoonde woningen","2017","Utrecht (PV)","23.077","7.575","12.309","4.318","7.991","3.193"
"Niet bewoonde woningen","2018","Utrecht (PV)","21.737","7.397","11.247","3.759","7.488","3.093"
"Niet bewoonde woningen","2019","Utrecht (PV)","22.200","8.824","12.935","3.974","8.961","441"
"Niet bewoonde woningen","2020","Utrecht (PV)","21.644","8.523","12.851","4.083","8.768","270"
"Niet bewoonde woningen","2021","Utrecht (PV)","23.217","8.266","14.667","5.015","9.652","284"
"Niet bewoonde woningen","2022","Utrecht (PV)","22.739","8.146","14.345","5.020","9.325","248"
"Niet bewoonde woningen","2023","Utrecht (PV)","23.419","8.696","14.487","5.210","9.277","236"
"Niet bewoonde woningen","2024","Utrecht (PV)","22.515","8.555","13.783","4.870","8.913","177"
"Niet bewoonde woningen","2025","Utrecht (PV)","23.321","8.844","14.219","4.876","9.343","258"
"Niet bewoonde woningen","2012","Noord-Holland (PV)","69.596","26.105","37.326","15.284","22.042","6.165"
"Niet bewoonde woningen","2013","Noord-Holland (PV)","68.591","26.302","37.403","15.165","22.238","4.886"
"Niet bewoonde woningen","2014","Noord-Holland (PV)","67.940","25.418","37.217","13.778","23.439","5.305"
"Niet bewoonde woningen","2015","Noord-Holland (PV)","64.827","25.206","34.673","12.585","22.088","4.948"
"Niet bewoonde woningen","2016","Noord-Holland (PV)","63.870","23.951","34.589","11.309","23.280","5.330"
"Niet bewoonde woningen","2017","Noord-Holland (PV)","62.863","22.609","34.765","11.245","23.520","5.489"
"Niet bewoonde woningen","2018","Noord-Holland (PV)","63.646","22.237","36.422","12.562","23.860","4.987"
"Niet bewoonde woningen","2019","Noord-Holland (PV)","65.998","23.699","41.229","14.419","26.810","1.070"
"Niet bewoonde woningen","2020","Noord-Holland (PV)","65.938","23.922","41.027","13.674","27.353","989"
"Niet bewoonde woningen","2021","Noord-Holland (PV)","68.290","23.959","43.514","14.942","28.572","817"
"Niet bewoonde woningen","2022","Noord-Holland (PV)","67.561","23.299","43.354","15.746","27.608","908"
"Niet bewoonde woningen","2023","Noord-Holland (PV)","66.339","24.248","41.382","15.155","26.227","709"
"Niet bewoonde woningen","2024","Noord-Holland (PV)","65.712","24.185","40.870","15.358","25.512","657"
"Niet bewoonde woningen","2025","Noord-Holland (PV)","70.020","26.007","43.366","16.082","27.284","647"
"Niet bewoonde woningen","2012","Zuid-Holland (PV)","97.041","35.002","52.051","20.827","31.224","9.988"
"Niet bewoonde woningen","2013","Zuid-Holland (PV)","94.311","34.198","52.465","21.190","31.275","7.648"
"Niet bewoonde woningen","2014","Zuid-Holland (PV)","95.545","32.972","52.105","19.578","32.527","10.468"
"Niet bewoonde woningen","2015","Zuid-Holland (PV)","92.319","32.167","47.866","18.157","29.709","12.286"
"Niet bewoonde woningen","2016","Zuid-Holland (PV)","87.631","31.052","45.335","15.918","29.417","11.244"
"Niet bewoonde woningen","2017","Zuid-Holland (PV)","84.564","28.883","45.223","16.084","29.139","10.458"
"Niet bewoonde woningen","2018","Zuid-Holland (PV)","80.075","26.857","43.618","14.929","28.689","9.600"
"Niet bewoonde woningen","2019","Zuid-Holland (PV)","79.313","29.278","48.275","17.633","30.642","1.760"
"Niet bewoonde woningen","2020","Zuid-Holland (PV)","80.501","28.990","50.346","17.988","32.358","1.165"
"Niet bewoonde woningen","2021","Zuid-Holland (PV)","82.728","27.693","54.014","20.225","33.789","1.021"
"Niet bewoonde woningen","2022","Zuid-Holland (PV)","79.651","26.927","51.888","19.874","32.014","836"
"Niet bewoonde woningen","2023","Zuid-Holland (PV)","79.102","28.265","50.037","18.445","31.592","800"
"Niet bewoonde woningen","2024","Zuid-Holland (PV)","78.758","28.101","50.040","18.823","31.217","617"
"Niet bewoonde woningen","2025","Zuid-Holland (PV)","81.009","29.226","51.246","18.446","32.800","537"
"Niet bewoonde woningen","2012","Zeeland (PV)","18.498","9.847","7.629","1.916","5.713","1.022"
"Niet bewoonde woningen","2013","Zeeland (PV)","16.010","8.195","7.108","2.025","5.083","707"
"Niet bewoonde woningen","2014","Zeeland (PV)","16.303","8.193","6.913","1.791","5.122","1.197"
"Niet bewoonde woningen","2015","Zeeland (PV)","15.601","7.921","6.835","1.686","5.149","845"
"Niet bewoonde woningen","2016","Zeeland (PV)","15.672","8.002","6.613","1.549","5.064","1.057"
"Niet bewoonde woningen","2017","Zeeland (PV)","15.554","7.823","6.796","1.511","5.285","935"
"Niet bewoonde woningen","2018","Zeeland (PV)","15.490","7.567","6.951","1.481","5.470","972"
"Niet bewoonde woningen","2019","Zeeland (PV)","15.723","8.436","5.795","1.664","4.131","1.492"
"Niet bewoonde woningen","2020","Zeeland (PV)","16.140","8.097","6.472","1.902","4.570","1.571"
"Niet bewoonde woningen","2021","Zeeland (PV)","15.319","7.691","6.018","1.427","4.591","1.610"
"Niet bewoonde woningen","2022","Zeeland (PV)","14.982","7.777","5.782","1.430","4.352","1.423"
"Niet bewoonde woningen","2023","Zeeland (PV)","14.647","7.847","5.413","1.252","4.161","1.387"
"Niet bewoonde woningen","2024","Zeeland (PV)","15.336","8.309","5.776","1.360","4.416","1.251"
"Niet bewoonde woningen","2025","Zeeland (PV)","15.586","8.585","5.822","1.305","4.517","1.179"
"Niet bewoonde woningen","2012","Noord-Brabant (PV)","45.433","20.742","20.020","8.612","11.408","4.671"
"Niet bewoonde woningen","2013","Noord-Brabant (PV)","44.303","20.213","20.662","8.500","12.162","3.428"
"Niet bewoonde woningen","2014","Noord-Brabant (PV)","45.647","19.607","21.307","8.860","12.447","4.733"
"Niet bewoonde woningen","2015","Noord-Brabant (PV)","43.512","19.114","19.893","7.864","12.029","4.505"
"Niet bewoonde woningen","2016","Noord-Brabant (PV)","43.093","18.295","18.558","6.813","11.745","6.240"
"Niet bewoonde woningen","2017","Noord-Brabant (PV)","41.523","16.976","19.700","6.666","13.034","4.847"
"Niet bewoonde woningen","2018","Noord-Brabant (PV)","40.323","16.083","19.903","6.416","13.487","4.337"
"Niet bewoonde woningen","2019","Noord-Brabant (PV)","40.700","18.202","21.660","7.430","14.230","838"
"Niet bewoonde woningen","2020","Noord-Brabant (PV)","40.281","17.983","21.773","7.538","14.235","525"
"Niet bewoonde woningen","2021","Noord-Brabant (PV)","40.211","17.126","22.623","8.320","14.303","462"
"Niet bewoonde woningen","2022","Noord-Brabant (PV)","38.970","16.125","22.446","8.511","13.935","399"
"Niet bewoonde woningen","2023","Noord-Brabant (PV)","41.102","17.598","23.148","8.892","14.256","356"
"Niet bewoonde woningen","2024","Noord-Brabant (PV)","42.119","18.144","23.642","9.250","14.392","333"
"Niet bewoonde woningen","2025","Noord-Brabant (PV)","42.674","18.892","23.486","8.912","14.574","296"
"Niet bewoonde woningen","2012","Limburg (PV)","31.427","11.909","15.608","5.715","9.893","3.910"
"Niet bewoonde woningen","2013","Limburg (PV)","30.579","11.751","16.000","5.990","10.010","2.828"
"Niet bewoonde woningen","2014","Limburg (PV)","31.349","11.285","15.985","6.053","9.932","4.079"
"Niet bewoonde woningen","2015","Limburg (PV)","29.753","11.119","14.696","5.231","9.465","3.938"
"Niet bewoonde woningen","2016","Limburg (PV)","28.369","10.761","13.958","4.729","9.229","3.650"
"Niet bewoonde woningen","2017","Limburg (PV)","27.863","10.122","14.536","4.770","9.766","3.205"
"Niet bewoonde woningen","2018","Limburg (PV)","26.980","9.221","14.752","4.408","10.344","3.007"
"Niet bewoonde woningen","2019","Limburg (PV)","26.364","10.636","15.011","4.749","10.262","717"
"Niet bewoonde woningen","2020","Limburg (PV)","25.799","10.190","15.126","4.785","10.341","483"
"Niet bewoonde woningen","2021","Limburg (PV)","26.405","9.900","16.046","5.638","10.408","459"
"Niet bewoonde woningen","2022","Limburg (PV)","25.169","9.619","15.090","5.023","10.067","460"
"Niet bewoonde woningen","2023","Limburg (PV)","26.273","10.072","15.771","5.143","10.628","430"
"Niet bewoonde woningen","2024","Limburg (PV)","26.521","10.212","15.934","4.916","11.018","375"
"Niet bewoonde woningen","2025","Limburg (PV)","26.419","10.777","15.306","4.839","10.467","336"
"Bron: CBS."
